|                 wl |      k_tot |
| 4079.9999999999995 |  1.063e+01 |
|             4090.0 |  1.060e+01 |
|             4100.0 |  1.057e+01 |
|             4110.0 |  1.054e+01 |
|             4120.0 |  1.051e+01 |
|             4130.0 |  1.048e+01 |
|             4140.0 |  1.045e+01 |
|             4150.0 |  1.041e+01 |
|             4160.0 |  1.038e+01 |
|             4170.0 |  1.034e+01 |
|             4180.0 |  1.031e+01 |
|             4190.0 |  1.027e+01 |
|             4200.0 |  1.023e+01 |
|             4210.0 |  1.019e+01 |
|             4220.0 |  1.014e+01 |
|             4230.0 |  1.010e+01 |
|             4240.0 |  1.006e+01 |
|             4250.0 |  1.001e+01 |
|             4260.0 |  9.966e+00 |
|             4270.0 |  9.918e+00 |
|             4280.0 |  9.870e+00 |
|             4290.0 |  9.819e+00 |
|             4300.0 |  9.768e+00 |
|             4310.0 |  9.716e+00 |
|             4320.0 |  9.662e+00 |
|             4330.0 |  9.607e+00 |
|             4340.0 |  9.551e+00 |
|             4350.0 |  9.493e+00 |
|             4360.0 |  9.434e+00 |
|             4370.0 |  9.374e+00 |
|             4380.0 |  9.313e+00 |
|             4390.0 |  9.250e+00 |
|             4400.0 |  9.187e+00 |
|             4410.0 |  9.121e+00 |
|             4420.0 |  9.055e+00 |
|             4430.0 |  8.987e+00 |
|             4440.0 |  8.918e+00 |
|             4450.0 |  8.847e+00 |
|             4460.0 |  8.775e+00 |
|             4470.0 |  8.702e+00 |
|             4480.0 |  8.627e+00 |
|             4490.0 |  8.551e+00 |
|             4500.0 |  8.474e+00 |
|             4510.0 |  8.395e+00 |
|             4520.0 |  8.315e+00 |
|             4530.0 |  8.234e+00 |
|             4540.0 |  8.151e+00 |
|             4550.0 |  8.066e+00 |
|             4560.0 |  7.980e+00 |
|             4570.0 |  7.893e+00 |
|             4580.0 |  7.804e+00 |
|             4590.0 |  7.714e+00 |
|             4600.0 |  7.622e+00 |
|             4610.0 |  7.529e+00 |
|             4620.0 |  7.435e+00 |
|             4630.0 |  7.339e+00 |
|             4640.0 |  7.241e+00 |
|             4650.0 |  7.142e+00 |
|             4660.0 |  7.041e+00 |
|             4670.0 |  6.939e+00 |
|             4680.0 |  6.835e+00 |
|             4690.0 |  6.730e+00 |
|             4700.0 |  6.623e+00 |
|             4710.0 |  6.515e+00 |
|             4720.0 |  6.405e+00 |
|             4730.0 |  6.293e+00 |
|             4740.0 |  6.180e+00 |
|             4750.0 |  6.065e+00 |
|             4760.0 |  5.949e+00 |
|             4770.0 |  5.831e+00 |
|             4780.0 |  5.711e+00 |
|             4790.0 |  5.590e+00 |
|             4800.0 |  5.467e+00 |
|  4809.999999999999 |  5.343e+00 |
|             4820.0 |  5.217e+00 |
|             4830.0 |  5.089e+00 |
|  4839.999999999999 |  4.959e+00 |
|             4850.0 |  4.828e+00 |
|             4860.0 |  4.695e+00 |
|             4870.0 |  4.560e+00 |
|  4879.999999999999 |  4.424e+00 |
|             4890.0 |  4.286e+00 |
|             4900.0 |  4.146e+00 |
|  4909.999999999999 |  4.005e+00 |
|             4920.0 |  3.861e+00 |
|             4930.0 |  3.716e+00 |
|             4940.0 |  3.570e+00 |
|             4950.0 |  3.421e+00 |
|             4960.0 |  3.271e+00 |
|             4970.0 |  3.118e+00 |
|  4979.999999999999 |  2.964e+00 |
|             4990.0 |  2.809e+00 |
|             5000.0 |  2.651e+00 |
|             5010.0 |  2.492e+00 |
|             5020.0 |  2.330e+00 |
|             5030.0 |  2.167e+00 |
|             5040.0 |  2.002e+00 |
|  5049.999999999999 |  1.836e+00 |
|             5060.0 |  1.667e+00 |
|             5070.0 |  1.496e+00 |
|  5079.999999999999 |  1.324e+00 |
|             5090.0 |  1.149e+00 |
|             5100.0 |  9.731e-01 |
|             5110.0 |  7.949e-01 |
|             5120.0 |  6.148e-01 |
|             5130.0 |  4.327e-01 |
|             5140.0 |  2.487e-01 |
|  5149.999999999999 |  6.269e-02 |
|             5160.0 | -1.253e-01 |
|             5170.0 | -3.152e-01 |
|             5180.0 | -5.071e-01 |
|             5190.0 | -7.010e-01 |
|             5200.0 | -8.969e-01 |
|             5210.0 | -1.095e+00 |
|  5219.999999999999 | -1.295e+00 |
|             5230.0 | -1.497e+00 |
|             5240.0 | -1.701e+00 |
|             5250.0 | -1.907e+00 |
|             5260.0 | -2.115e+00 |
|             5270.0 | -2.325e+00 |
|             5280.0 | -2.537e+00 |
|  5289.999999999999 | -2.751e+00 |
|             5300.0 | -2.968e+00 |
|             5310.0 | -3.186e+00 |
|  5319.999999999999 | -3.407e+00 |
|             5330.0 | -3.630e+00 |
|             5340.0 | -3.855e+00 |
|             5350.0 | -4.082e+00 |
|             5360.0 | -4.311e+00 |
|             5370.0 | -4.542e+00 |
|             5380.0 | -4.775e+00 |
|  5389.999999999999 | -5.011e+00 |
|             5400.0 | -5.249e+00 |
|             5410.0 | -5.489e+00 |
|             5420.0 | -5.731e+00 |
|             5430.0 | -5.976e+00 |
|             5440.0 | -6.222e+00 |
|             5450.0 | -6.471e+00 |
|  5459.999999999999 | -6.722e+00 |
|             5470.0 | -6.976e+00 |
|             5480.0 | -7.231e+00 |
|  5489.999999999999 | -7.489e+00 |
|             5500.0 | -7.749e+00 |
|             5510.0 | -8.012e+00 |
|             5520.0 | -8.277e+00 |
|  5529.999999999999 | -8.544e+00 |
|             5540.0 | -8.813e+00 |
|             5550.0 | -9.085e+00 |
|  5559.999999999999 | -9.359e+00 |
|             5570.0 | -9.635e+00 |
|             5580.0 | -9.914e+00 |
|             5590.0 | -1.019e+01 |
|             5600.0 | -1.048e+01 |
|             5610.0 | -1.076e+01 |
|             5620.0 | -1.105e+01 |
|  5629.999999999999 | -1.134e+01 |
|             5640.0 | -1.164e+01 |
|             5650.0 | -1.193e+01 |
|             5660.0 | -1.223e+01 |
|             5670.0 | -1.253e+01 |
|             5680.0 | -1.283e+01 |
|             5690.0 | -1.314e+01 |
|  5699.999999999999 | -1.345e+01 |
